Company,Valuation ($B),Date Joined,Country,City,Industry,Select Investors,Founded Year,Total Raised ($B),Financial Stage,Investors Count
Grid Group94,1.58,2026-12-04,United States,Los Angeles,Data management & analytics,"DST Global, Kleiner Perkins Caufield & Byers, Y Combinator, Bessemer Venture Partners",2016,0.305,Series E,5
Meta Labs,2.55,2026-11-26,Germany,Munich,Fintech,Y Combinator,2022,0.528,Series D,12
Link Group,2.32,2026-10-14,Israel,Tel Aviv,Health,"New Enterprise Associates, DST Global, Alibaba Group, Founders Fund",2015,0.94,Series C,16
Aeroify68,4.26,2026-10-14,United States,New York,Fintech,"DST Global, Thrive Capital",2022,1.938,Series C,2
Finly38,7.38,2026-09-26,United States,Los Angeles,Other,"SoftBank Group, Sequoia Capital",2020,1.242,Series F,11
AutoBlock87,1.29,2026-09-26,United States,Austin,Data management & analytics,Accel,2022,0.317,Pre-IPO,7
Novaly42,1.13,2026-09-06,China,Shenzhen,Artificial intelligence,"Google Ventures, Bessemer Venture Partners, Kleiner Perkins Caufield & Byers",2019,0.318,Series E,16
CloudMind16,15.72,2026-08-25,Singapore,Singapore,Internet software & services,"Lightspeed Venture Partners, Accel",2017,6.707,Series B,11
NovaMind61,2.2,2026-08-14,Canada,Toronto,Fintech,"Alibaba Group, Bessemer Venture Partners, Accel, Greylock Partners",2017,0.302,Series E,14
BioPulse,2.29,2026-07-31,United States,Palo Alto,Internet software & services,"Insight Partners, Greylock Partners, DST Global, Kleiner Perkins Caufield & Byers",2018,0.981,Series E,9
Autoly81,1.78,2026-07-30,United States,Seattle,Edtech,"Founders Fund, Insight Partners",2022,0.244,Series D,15
Wave Hub48,27.84,2026-07-24,United States,Palo Alto,"Supply chain, logistics, & delivery",Thrive Capital,2023,9.763,Series C,8
Nova Hub66,1.21,2026-07-20,United States,Seattle,Health,"Tencent Holdings, Alibaba Group, New Enterprise Associates",2014,0.196,Series F,8
NovaLink46,1.35,2026-07-04,South Korea,Seoul,Travel,Founders Fund,2017,0.197,Series E,8
Novaify13,1.95,2026-06-29,United States,San Francisco,Consumer & retail,Kleiner Perkins Caufield & Byers,2018,0.658,Series D,5
PayCore,7.86,2026-06-24,United States,Boston,Internet software & services,Benchmark,2022,1.072,Series F,12
NovaLink,2.62,2026-06-18,United States,Los Angeles,Cybersecurity,"Lightspeed Venture Partners, Thrive Capital, Benchmark, SoftBank Group",2023,0.293,Private Equity,7
Meta Hub31,2.41,2026-06-12,France,Paris,Fintech,"Google Ventures, Sequoia Capital, Alibaba Group, General Atlantic",2018,1.073,Series D,16
Shift Dynamics74,2.33,2026-05-21,United States,Seattle,Internet software & services,"Index Ventures, Accel, Sequoia Capital, Lightspeed Venture Partners",2017,0.938,Series D,8
OmniFlow90,17.43,2026-05-20,United States,New York,Fintech,DST Global,2014,7.812,Series B,1
Fin Dynamics99,1.96,2026-05-19,United States,San Francisco,Cybersecurity,"New Enterprise Associates, Coatue Management, Khosla Ventures",2023,0.268,Series C,14
NexWave74,7.2,2026-05-18,United States,Chicago,Consumer & retail,"Khosla Ventures, Google Ventures, Coatue Management, New Enterprise Associates",2017,3.048,Pre-IPO,11
Flowio25,2.91,2026-05-18,United States,New York,Fintech,"Tiger Global Management, Alibaba Group",2015,1.206,Series D,17
Link Hub24,1.67,2026-05-18,Singapore,Singapore,Internet software & services,"Accel, Bessemer Venture Partners",2017,0.719,Series E,12
Fin AI3,7.6,2026-05-15,India,Gurugram,Data management & analytics,"Benchmark, Bessemer Venture Partners, Coatue Management",2018,1.055,Series C,10
Novaly51,2.06,2026-05-15,Brazil,Sao Paulo,Auto & transportation,"Coatue Management, General Atlantic, Accel",2015,0.988,Series D,18
Grid Hub,6.68,2026-05-13,United States,New York,Other,"Benchmark, Tiger Global Management, SoftBank Group, Tencent Holdings",2023,1.949,Series C,13
Auto Base,2.35,2026-05-07,United States,Austin,Hardware,"Benchmark, Greylock Partners, Google Ventures, General Atlantic",2023,0.487,Pre-IPO,11
Grid Group51,54.5,2026-05-02,South Korea,Seoul,"Supply chain, logistics, & delivery",New Enterprise Associates,2017,9.556,Series E,4
Cyber Networks90,2.25,2026-04-25,United States,Austin,Edtech,"Google Ventures, Greylock Partners, New Enterprise Associates, Insight Partners",2021,0.652,Series C,10
Pay Solutions73,2.92,2026-04-15,United States,San Francisco,Internet software & services,"Greylock Partners, Khosla Ventures",2023,0.384,Series E,5
Vertex Group74,2.01,2026-04-14,United States,Los Angeles,Internet software & services,"SoftBank Group, Tiger Global Management",2016,0.975,Private Equity,11
OmniZenith16,2.47,2026-04-13,China,Beijing,Data management & analytics,"Accel, Y Combinator, Andreessen Horowitz",2021,0.563,Series C,7
Cyberly74,9.53,2026-04-12,United States,Seattle,Fintech,"Tiger Global Management, Lightspeed Venture Partners, Bessemer Venture Partners, SoftBank Group",2018,2.208,Series E,16
PaySpace,80.64,2026-04-06,United States,San Francisco,Health,"Accel, General Atlantic",2021,9.004,Series C,10
Flow Labs98,6.22,2026-04-05,Canada,Toronto,Other,Andreessen Horowitz,2019,2.687,Pre-IPO,4
Cyber Networks,1.71,2026-04-02,United States,Seattle,Health,"Thrive Capital, Google Ventures",2022,0.507,Series D,5
Vertex Base45,2.94,2026-03-24,United States,Los Angeles,Fintech,"Benchmark, Thrive Capital",2021,0.909,Series D,11
Mind Hub,1.25,2026-03-20,Brazil,Curitiba,Hardware,"SoftBank Group, Khosla Ventures, Benchmark",2017,0.372,Series F,5
Meta Solutions63,4.91,2026-03-15,United States,Seattle,Artificial intelligence,"Index Ventures, DST Global, Sequoia Capital, Khosla Ventures",2023,0.493,Series E,17
SmartZenith,1.9,2026-03-14,India,Mumbai,Fintech,"New Enterprise Associates, Insight Partners",2022,0.91,Pre-IPO,12
Block Networks27,2.32,2026-03-09,United States,San Francisco,Fintech,SoftBank Group,2018,1.139,Series D,9
Spaceio36,2.43,2026-03-05,Indonesia,Jakarta,Internet software & services,"Greylock Partners, General Atlantic",2021,0.401,Series C,17
CloudShift,1.9,2026-02-28,United States,San Francisco,Auto & transportation,"Sequoia Capital, DST Global, Tencent Holdings",2020,0.81,Series D,18
Nex Group,2.39,2026-02-25,Germany,Berlin,Fintech,"Khosla Ventures, New Enterprise Associates",2022,0.774,Series D,14
Coreio38,5.73,2026-02-25,United States,Austin,Artificial intelligence,"DST Global, Accel, Bessemer Venture Partners",2020,1.22,Series C,5
Cyber AI54,2.76,2026-02-18,South Korea,Seoul,Internet software & services,"Benchmark, Alibaba Group",2018,0.851,Series C,4
PayMind60,5.6,2026-02-13,United States,Palo Alto,Fintech,"Tencent Holdings, Greylock Partners, Andreessen Horowitz, Lightspeed Venture Partners",2021,2.569,Private Equity,7
PayZenith,14.32,2026-02-12,India,Gurugram,Artificial intelligence,"SoftBank Group, Alibaba Group",2023,5.887,Series C,4
FinWave64,2.95,2026-02-09,India,Bengaluru,Auto & transportation,"Index Ventures, General Atlantic",2023,0.646,Series F,14
HealthFlow52,2.12,2026-02-06,China,Shenzhen,Edtech,"Tiger Global Management, Google Ventures, Kleiner Perkins Caufield & Byers",2016,0.86,Series C,11
BioWave3,1.52,2026-02-05,United States,Seattle,Fintech,"Bessemer Venture Partners, Khosla Ventures, SoftBank Group, Accel",2016,0.519,Series E,18
NexCore54,3.0,2026-02-03,United States,Palo Alto,Other,"Accel, Kleiner Perkins Caufield & Byers, Y Combinator, Google Ventures",2014,1.366,Series D,16
Cyberio,1.52,2026-01-22,Australia,Melbourne,Other,"SoftBank Group, DST Global, Andreessen Horowitz, Benchmark",2018,0.753,Pre-IPO,19
OmniGrid,1.07,2026-01-14,United States,Seattle,Auto & transportation,"Alibaba Group, Google Ventures, Tiger Global Management",2017,0.468,Pre-IPO,5
